# number of particles: 1540
# draw region: false
# simulator type: BarnesHut
# columns: frame_rate update_time draw_time
17.5  0.859 0.101
16.5  0.944 0.0559
18.3  0.937 0.0624
19.1  0.935 0.0645
16.3  0.943 0.0559
19.3  0.933 0.0662
16.5  0.943 0.0567
18.3  0.936 0.0629
19.2  0.933 0.0666
15.8  0.945 0.0542
19.4  0.934 0.0654
17.3  0.941 0.0586
